Player,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GmSc,Tm,Games,3PT_Volume_Eff,3PT_per_Min,FT_Volume_Eff,AST_TOV_Ratio,AST_per_Min,Defensive_Impact,Defense_per_Min,Total_Rebounding,REB_per_Min,PTS_per_FGA,PTS_per_Min,TS%,Usage_Rate
A.J. Green,21.9975,2.590909090909091,5.863636363636363,0.4264545454545454,2.1818181818181817,5.045454545454546,0.3952727272727273,0.29545454545454547,0.3409090909090909,0.1401590909090909,0.25,2.0,2.25,1.2727272727272727,0.5454545454545454,0.11363636363636363,0.6136363636363636,2.1136363636363638,7.659090909090909,5.404545454545455,MIL,44,1.9943305785123968,0.09873597383496692,0.047781508264462806,1.78343949044586,0.057595984737064045,0.6590909090909091,0.029826492095979592,2.25,0.10182147301730965,1.284298780487805,0.34660440814983184,0.6315592203898052,0.29991052052371203
Aaron Gordon,26.666,4.333333333333333,8.5,0.5109,1.1333333333333333,2.8,0.40099999999999997,2.533333333333333,3.2333333333333334,0.6306999999999999,1.5333333333333334,3.2,4.733333333333333,3.066666666666667,0.4666666666666667,0.26666666666666666,1.3333333333333333,1.6,12.333333333333334,10.696666666666665,DEN,30,1.1227999999999998,0.042342275025529896,2.039263333333333,2.1395348837209305,0.11457321477496327,0.7333333333333334,0.027397942663578173,4.733333333333333,0.17684126628309546,1.434108527131783,0.4607835811601783,0.6183568420348954,0.4205335126653217
Aaron Holiday,11.371944444444445,1.4444444444444444,3.4444444444444446,0.34555555555555556,0.8611111111111112,2.3055555555555554,0.2758333333333333,0.4722222222222222,0.5277777777777778,0.2222222222222222,0.16666666666666666,0.7777777777777778,0.9444444444444444,1.1944444444444444,0.3611111111111111,0.1111111111111111,0.4722222222222222,1.0555555555555556,4.222222222222222,3.0972222222222223,HOU,36,0.635949074074074,0.07506235017797042,0.11728395061728394,2.087378640776699,0.10411874379524928,0.4722222222222222,0.041163224291145065,0.9444444444444444,0.08232644858229013,1.1912225705329154,0.36804765248553234,0.5664877757901013,0.361655245889731
Aaron Nesmith,20.949333333333335,2.7333333333333334,5.533333333333333,0.4784666666666667,1.0,2.4,0.39333333333333337,1.7333333333333334,1.9333333333333333,0.5644666666666667,0.4666666666666667,2.8666666666666667,3.3333333333333335,1.2666666666666666,0.6,0.26666666666666666,0.7333333333333333,2.6,8.2,6.426666666666666,IND,15,0.9440000000000001,0.04750744283271045,1.0913022222222222,1.52,0.06017609425476657,0.8666666666666667,0.04117311712168239,3.3333333333333335,0.1583581427757015,1.455621301775148,0.38956103122822566,0.6372396642834939,0.33812630645467784
Aaron Wiggins,21.322745098039217,4.019607843137255,8.117647058823529,0.4754117647058823,1.3333333333333333,3.6862745098039214,0.3399803921568627,0.7647058823529411,0.9019607843137255,0.26715686274509803,1.0784313725490196,2.4901960784313726,3.5686274509803924,1.5686274509803921,0.7254901960784313,0.23529411764705882,0.8235294117647058,1.2549019607843137,10.137254901960784,8.172549019607843,OKC,51,1.253261053440984,0.06223914476092845,0.24096501345636293,1.6985138004246285,0.07322252324815112,0.9607843137254901,0.04484879548949256,3.568627450980392,0.1665812403895438,1.2335958005249343,0.4732005564911766,0.59181757824126,0.43589368089624364
Adam Flagler,4.278421052631579,0.47368421052631576,2.473684210526316,0.22189473684210528,0.3157894736842105,2.0,0.20489473684210524,0.0,0.0,0.0,0.15789473684210525,0.2631578947368421,0.42105263157894735,0.0,0.2631578947368421,0.05263157894736842,0.05263157894736842,0.3684210526315789,1.263157894736842,0.010526315789473694,OKC,19,0.4097894736842105,0.0721240533717995,0.0,0.0,0.0,0.3157894736842105,0.0721240533717995,0.42105263157894735,0.09616540449573266,0.4907975460122699,0.288496213487198,0.25026068821689257,0.5769924269743961
Adem Bona,10.940277777777778,1.1111111111111112,1.5833333333333333,0.5324166666666668,0.0,0.0,0.0,0.7777777777777778,1.2222222222222223,0.32825,1.0277777777777777,1.8055555555555556,2.8333333333333335,0.3055555555555556,0.19444444444444445,0.75,0.6666666666666666,1.8888888888888888,3.0,2.9305555555555554,PHI,36,0.0,0.0,0.40119444444444446,0.3985507246376812,0.027676437287709146,0.9444444444444444,0.08554535161655553,2.833333333333333,0.2566360548496666,1.7821782178217822,0.27173229337023524,0.6908904810644833,0.2525097496540445
Ajay Mitchell,16.483428571428572,2.4571428571428573,4.914285714285715,0.44602857142857144,0.6285714285714286,1.5142857142857142,0.3362,0.8857142857142857,1.0571428571428572,0.42619999999999997,0.4857142857142857,1.4857142857142858,1.9714285714285715,1.6857142857142857,0.6857142857142857,0.08571428571428572,0.8,1.6857142857142857,6.428571428571429,5.140000000000001,OKC,35,0.5091028571428571,0.0379035870576479,0.4505542857142857,1.873015873015873,0.10165052892732847,0.7714285714285715,0.046518038661658795,1.9714285714285715,0.11887943213535025,1.2820512820512822,0.38765032218048995,0.5920117876124822,0.372626718583095
Al Horford,26.203249999999997,2.875,7.05,0.393475,1.75,5.0,0.323,0.35,0.4,0.2,1.075,4.175,5.25,1.925,0.6,0.85,0.725,1.425,7.85,7.297499999999999,BOS,40,1.615,0.06653170235617271,0.08000000000000002,2.3333333333333335,0.07318487259178999,1.45,0.05512626766654311,5.25,0.19959510706851816,1.097902097902098,0.29844220771197477,0.5394447498625619,0.3022820373908167
Alec Burks,16.146923076923077,1.7692307692307692,4.3076923076923075,0.3801153846153846,1.3846153846153846,3.230769230769231,0.34149999999999997,0.8076923076923077,1.0,0.3086153846153846,0.3076923076923077,1.7692307692307692,2.076923076923077,1.0769230769230769,0.5769230769230769,0.19230769230769232,0.34615384615384615,0.6923076923076923,5.730769230769231,4.934615384615385,MIA,26,1.1033076923076923,0.0852232375361015,0.3086153846153846,2.413793103448276,0.06628474030585672,0.7692307692307692,0.04734624307561194,2.0769230769230766,0.12783485630415226,1.3001745200698083,0.352729510913309,0.5972422639089305,0.3135268216467023
