Player,Tm,Games,PTS,TRB,AST,Cluster
Donovan Mitchell,CLE,49,24.020408163265305,4.346938775510204,4.73469387755102,2
Norman Powell,LAC,42,23.928571428571427,3.595238095238096,2.238095238095238,2
Tyler Herro,MIA,49,23.73469387755102,5.571428571428571,5.551020408163265,2
Zach LaVine,CHI,44,23.681818181818183,4.704545454545454,4.386363636363637,2
Zion Williamson,NOP,15,23.266666666666666,7.866666666666666,4.933333333333334,2
Trae Young,ATL,48,23.25,3.1875,11.375,2
Jaylen Brown,BOS,45,23.177777777777777,6.088888888888889,4.777777777777778,2
Stephen Curry,GSW,42,22.714285714285715,4.5,6.142857142857143,2
Paolo Banchero,ORL,19,22.31578947368421,7.157894736842105,4.947368421052632,2
Brandon Ingram,NOP,18,22.22222222222222,5.555555555555555,5.166666666666667,2
CJ McCollum,NOP,38,22.0,3.6052631578947367,3.8157894736842106,2
Darius Garland,CLE,50,21.86,2.56,6.72,2
DeMar DeRozan,SAC,46,21.695652173913043,3.739130434782609,3.6739130434782608,2
Jaren Jackson,MEM,31,21.61290322580645,5.935483870967742,1.7741935483870968,2
RJ Barrett,TOR,41,21.585365853658537,6.634146341463414,5.682926829268292,2
Jalen Green,HOU,51,21.45098039215686,4.352941176470588,2.92156862745098,2
James Harden,LAC,48,21.3125,5.75,8.416666666666666,2
Brandon Miller,CHO,27,21.03703703703704,4.851851851851852,3.6296296296296298,2
Jalen Williams,OKC,48,21.02083333333333,5.479166666666667,5.083333333333333,2
Jordan Poole,WAS,44,20.84090909090909,3.090909090909091,4.863636363636363,2
Pascal Siakam,IND,50,20.7,7.38,3.42,2
Ja Morant,MEM,30,20.666666666666668,4.166666666666667,7.5,2
Domantas Sabonis,SAC,48,20.39583333333333,14.270833333333334,6.333333333333333,2
Alperen Şengün,HOU,13,20.23076923076923,10.923076923076923,5.153846153846154,2
Trey Murphy,NOP,19,20.210526315789476,4.526315789473684,2.421052631578948,2
Jamal Murray,DEN,45,20.155555555555555,4.022222222222222,6.111111111111111,2
Scottie Barnes,TOR,39,19.97435897435897,7.743589743589744,6.384615384615385,2
Miles Bridges,CHO,35,19.6,7.714285714285714,3.8,2
Nikola Vučević,CHI,51,19.50980392156863,10.392156862745098,3.549019607843137,2
Michael Porter Jr.,DEN,22,19.40909090909091,6.454545454545454,1.4545454545454546,2
Cameron Johnson,BRK,37,19.2972972972973,4.081081081081081,2.891891891891892,2
Lauri Markkanen,UTA,38,19.289473684210527,6.2105263157894735,1.6842105263157894,2
Kristaps Porziņģis,BOS,27,19.14814814814815,7.0,2.037037037037037,2
De'Andre Hunter,ATL,37,18.97297297297297,3.918918918918919,1.5405405405405406,2
Jalen Johnson,ATL,36,18.88888888888889,9.97222222222222,5.027777777777778,2
Julius Randle,MIN,48,18.854166666666668,7.166666666666667,4.458333333333333,2
Alperen Sengun,HOU,35,18.77142857142857,10.457142857142856,5.0,2
Michael Porter,DEN,30,18.633333333333333,6.6,2.7,2
Austin Reaves,LAL,44,18.545454545454547,4.2727272727272725,6.090909090909091,2
Coby White,CHI,45,18.53333333333333,3.2888888888888888,4.644444444444445,2
Evan Mobley,CLE,46,18.456521739130437,9.0,2.891304347826087,2
Anfernee Simons,POR,48,18.4375,2.75,4.979166666666667,2
Collin Sexton,UTA,46,18.347826086956523,2.891304347826087,4.108695652173913,2
John Collins,UTA,33,18.24242424242424,8.151515151515152,2.242424242424242,2
Malik Monk,SAC,43,18.093023255813957,3.7906976744186047,5.744186046511628,2
Desmond Bane,MEM,40,17.925,5.675,5.45,2
Tyrese Haliburton,IND,49,17.775510204081634,3.591836734693877,8.53061224489796,2
Jaden Ivey,DET,30,17.6,4.133333333333334,3.966666666666667,2
Andrew Wiggins,GSW,43,17.558139534883722,4.5813953488372094,2.3488372093023258,2
Dejounte Murray,NOP,31,17.483870967741936,6.451612903225806,7.354838709677419,2
Jimmy Butler,MIA,25,17.04,5.24,4.8,2
Kelly Oubre Jr.,PHI,19,16.842105263157894,7.842105263157895,2.421052631578948,2
Paul George,PHI,32,16.78125,5.34375,4.46875,2
Jonathan Kuminga,GSW,32,16.75,4.96875,2.1875,2
Jordan Clarkson,UTA,27,16.62962962962963,3.185185185185185,3.7777777777777777,2
Keyonte George,UTA,40,16.45,3.575,5.775,2
Bam Adebayo,MIA,49,16.408163265306122,9.959183673469388,4.510204081632653,2
Bennedict Mathurin,IND,48,16.354166666666668,5.75,1.8541666666666667,2
Jalen Suggs,ORL,35,16.2,4.0285714285714285,3.6857142857142855,2
Myles Turner,IND,46,15.08695652173913,6.565217391304348,1.5217391304347827,2
Deni Avdija,POR,49,14.612244897959185,6.428571428571429,3.36734693877551,2
P.J. Washington,DAL,42,14.428571428571429,8.357142857142858,2.333333333333333,2
Josh Hart,NYK,50,14.3,9.66,5.78,2
Russell Westbrook,DEN,48,12.979166666666666,5.083333333333333,6.395833333333333,2
Josh Giddey,CHI,48,12.104166666666666,7.25,6.5625,2
Mark Williams,CHO,23,15.565217391304348,9.608695652173912,2.4782608695652173,3
Chet Holmgren,OKC,11,15.272727272727272,8.363636363636363,1.9090909090909087,3
Ivica Zubac,LAC,49,15.16326530612245,12.653061224489797,2.489795918367347,3
Deandre Ayton,POR,38,14.736842105263158,10.31578947368421,1.631578947368421,3
Jakob Poeltl,TOR,45,14.155555555555557,10.11111111111111,2.844444444444445,3
Amen Thompson,HOU,48,13.791666666666666,8.0,3.1875,3
Jarrett Allen,CLE,52,13.615384615384617,10.288461538461538,2.019230769230769,3
Daniel Gafford,DAL,49,12.612244897959185,6.8979591836734695,1.4285714285714286,3
Onyeka Okongwu,ATL,45,12.155555555555557,7.977777777777778,2.022222222222222,3
Jeremy Sochan,SAS,30,12.0,7.533333333333333,2.533333333333333,3
Isaiah Hartenstein,OKC,31,11.516129032258064,11.96774193548387,4.129032258064516,3
Jonas Valančiūnas,WAS,50,11.4,8.18,2.22,3
Tari Eason,HOU,34,11.205882352941176,6.264705882352941,1.1176470588235294,3
Walker Kessler,UTA,40,11.175,11.9,1.55,3
Jalen Duren,DET,49,10.73469387755102,10.040816326530612,2.36734693877551,3
Rudy Gobert,MIN,52,10.711538461538462,10.384615384615383,1.8269230769230769,3
Wendell Carter Jr.,ORL,19,10.578947368421051,7.315789473684211,2.473684210526316,3
Nic Claxton,BRK,45,9.911111111111111,7.488888888888889,1.9555555555555555,3
Zach Edey,MEM,37,9.864864864864863,7.783783783783784,1.0,3
Clint Capela,ATL,45,9.422222222222222,9.0,1.2222222222222223,3
Goga Bitadze,ORL,42,9.142857142857142,8.095238095238095,2.2857142857142856,3
Nick Richards,CHO,32,9.0,8.5,1.09375,3
Yves Missi,NOP,48,8.75,8.020833333333334,1.4166666666666667,3
Dereck Lively,DAL,25,8.68,7.76,2.48,3
Jusuf Nurkić,PHO,25,8.6,9.16,1.88,3
Ausar Thompson,DET,30,8.566666666666666,4.966666666666667,1.8666666666666667,3
Kel'el Ware,MIA,35,8.428571428571429,5.714285714285714,0.7428571428571429,3
Day'Ron Sharpe,BRK,30,8.033333333333333,6.033333333333333,1.5333333333333334,3
Brandon Clarke,MEM,47,7.914893617021277,4.97872340425532,0.9574468085106383,3
Trayce Jackson-Davis,GSW,47,7.829787234042553,6.0638297872340425,2.0638297872340425,3
Wendell Carter,ORL,21,7.333333333333333,7.142857142857143,2.1904761904761907,3
Andre Drummond,PHI,29,6.896551724137931,7.517241379310345,0.6206896551724138,3
Precious Achiuwa,NYK,30,6.533333333333333,5.833333333333333,1.0333333333333334,3
KJ Martin,PHI,24,6.416666666666667,3.0,0.7916666666666666,3
Ben Simmons,BRK,33,6.181818181818182,5.212121212121212,6.9393939393939394,3
Jonathan Isaac,ORL,47,5.893617021276596,4.829787234042553,0.5106382978723404,3
Drew Eubanks,UTA,39,5.666666666666667,4.461538461538462,1.1538461538461535,3
Robert Williams,POR,18,5.666666666666667,6.0,1.1111111111111112,3
Isaiah Stewart,DET,47,5.659574468085107,5.808510638297872,1.702127659574468,3
Mo Bamba,LAC,12,5.583333333333333,5.0,0.4166666666666667,3
Jaxson Hayes,LAL,28,5.535714285714286,4.035714285714286,0.9642857142857144,3
Kevon Looney,GSW,45,5.155555555555556,6.911111111111111,1.8666666666666667,3
Neemias Queta,BOS,40,5.15,3.7,0.675,3
Luke Kornet,BOS,46,5.130434782608695,4.934782608695652,1.565217391304348,3
Donovan Clingan,POR,38,5.026315789473684,6.447368421052632,0.7368421052631579,3
Richaun Holmes,WAS,14,4.857142857142857,4.642857142857143,1.0714285714285714,3
Moussa Diabaté,CHO,42,4.690476190476191,7.119047619047619,0.8809523809523809,3
Charles Bassey,SAS,32,4.59375,4.5625,0.4375,3
Paul Reed,DET,29,4.310344827586207,2.5172413793103448,1.0,3
Mason Plumlee,PHO,50,3.94,6.36,1.86,3
Steven Adams,HOU,35,3.7714285714285714,5.171428571428572,1.1142857142857143,3
DeAndre Jordan,DEN,37,3.5675675675675675,4.54054054054054,0.8108108108108109,3
Adem Bona,PHI,36,3.0,2.833333333333333,0.3055555555555556,3
