Player,Tm,Games,PTS,TRB,AST,Cluster
Kris Murray,POR,43,3.953488372093023,2.13953488372093,0.8604651162790697,0
Tristan Vukcevic,WAS,11,3.909090909090909,1.6363636363636365,0.8181818181818182,0
Jae'Sean Tate,HOU,32,3.90625,2.15625,0.90625,0
Cody Williams,UTA,26,3.8846153846153846,2.1923076923076925,1.3461538461538465,0
Ousmane Dieng,OKC,29,3.8620689655172415,2.3448275862068964,0.9310344827586208,0
Pelle Larsson,MIA,33,3.8484848484848486,1.4848484848484849,0.9393939393939394,0
Mohamed Bamba,LAC,16,3.8125,3.75,0.6875,0
Dalen Terry,CHI,47,3.787234042553192,1.4893617021276595,1.2127659574468086,0
Dario Šarić,DEN,13,3.769230769230769,3.615384615384616,1.6923076923076923,0
Gary Harris,ORL,24,3.75,1.2083333333333333,0.4583333333333333,0
Jevon Carter,CHI,24,3.75,0.9166666666666666,0.875,0
Bol Bol,PHO,15,3.733333333333333,1.6,0.3333333333333333,0
Micah Potter,UTA,22,3.727272727272727,3.8181818181818175,0.7272727272727273,0
Jamal Cain,NOP,20,3.7,2.4,0.55,0
Devin Carter,SAC,16,3.6875,2.5,1.3125,0
Isaac Jones,SAC,25,3.64,1.52,0.32,0
Oso Ighodaro,PHO,40,3.575,3.275,0.975,0
Andre Jackson,MIL,30,3.566666666666667,3.1666666666666665,1.5,0
Jeff Dowtin,PHI,23,3.565217391304348,1.173913043478261,1.434782608695652,0
Reed Sheppard,HOU,36,3.555555555555556,1.4444444444444444,1.1388888888888888,0
Craig Porter Jr.,CLE,13,3.5384615384615383,1.0,0.9230769230769232,0
Jock Landale,HOU,25,3.52,2.88,0.88,0
Olivier-Maxence Prosper,DAL,41,3.463414634146341,2.365853658536585,0.7073170731707317,0
Doug McDermott,SAC,31,3.419354838709677,0.5483870967741935,0.1290322580645161,0
Bruno Fernando,TOR,17,3.411764705882353,3.0,1.0588235294117647,0
Luka Garza,MIN,20,3.4,1.3,0.1,0
Nicolas Batum,LAC,49,3.36734693877551,2.836734693877551,1.326530612244898,0
Cam Reddish,LAL,31,3.3225806451612905,2.0,0.7419354838709677,0
Jabari Walker,POR,37,3.216216216216216,2.810810810810811,0.4594594594594595,0
Pat Spencer,GSW,20,3.15,1.5,1.55,0
Damion Lee,PHO,14,3.142857142857143,0.9285714285714286,0.5714285714285714,0
Nick Smith,CHO,14,3.142857142857143,0.7857142857142857,0.7142857142857143,0
Blake Wesley,SAS,31,3.129032258064516,0.7419354838709677,1.935483870967742,0
Maxi Kleber,DAL,34,3.0294117647058822,2.794117647058824,1.2647058823529411,0
Jaylon Tyson,CLE,33,3.0,2.1818181818181817,0.9090909090909092,0
Orlando Robinson,SAC,17,3.0,2.235294117647059,0.9411764705882352,0
Branden Carlson,OKC,17,2.823529411764706,1.588235294117647,0.3529411764705882,0
Caleb Houstan,ORL,36,2.805555555555556,1.0,0.4166666666666667,0
Dominick Barlow,ATL,15,2.8,1.5333333333333334,0.2,0
Brandon Williams,DAL,17,2.764705882352941,0.7647058823529411,1.1176470588235294,0
Tyler Smith,MIL,16,2.75,1.1875,0.25,0
Landry Shamet,NYK,19,2.736842105263158,0.7894736842105263,0.4210526315789473,0
Jalen Pickett,DEN,22,2.727272727272727,1.0,1.681818181818182,0
Drew Peterson,BOS,14,2.7142857142857144,1.9285714285714288,0.7857142857142857,0
John Konchar,MEM,27,2.703703703703704,3.888888888888889,1.0740740740740742,0
Kobe Brown,LAC,20,2.65,2.25,0.7,0
Josh Minott,MIN,31,2.5806451612903225,1.064516129032258,0.4193548387096774,0
Craig Porter,CLE,18,2.555555555555556,0.8888888888888888,1.3333333333333333,0
Delon Wright,MIL,26,2.5,1.7692307692307692,1.8461538461538465,0
Rayan Rupert,POR,35,2.4857142857142858,1.1428571428571428,0.4571428571428571,0
Taj Gibson,CHO,21,2.4761904761904763,3.4285714285714284,0.5238095238095238,0
Johnny Davis,WAS,34,2.3529411764705883,1.1176470588235294,0.3235294117647059,0
Karlo Matković,NOP,14,2.2857142857142856,3.142857142857143,0.6428571428571429,0
Duop Reath,POR,25,2.28,0.88,0.24,0
Reece Beekman,GSW,20,2.25,0.75,1.55,0
Hunter Tyson,DEN,36,2.2222222222222223,1.5555555555555556,0.3611111111111111,0
Kai Jones,LAC,27,2.185185185185185,1.6666666666666667,0.3703703703703703,0
Trey Jemison,NOP,21,2.142857142857143,2.9047619047619047,0.5238095238095238,0
Chris Duarte,CHI,17,2.117647058823529,1.1764705882352942,0.5294117647058824,0
Christian Koloko,LAL,28,2.107142857142857,2.142857142857143,0.4285714285714285,0
Patrick Baldwin,WAS,13,2.076923076923077,0.9230769230769232,0.0769230769230769,0
Dillon Jones,OKC,32,2.0625,2.03125,0.90625,0
Johnny Furphy,IND,32,1.9375,1.03125,0.28125,0
Cory Joseph,ORL,30,1.9333333333333331,0.7666666666666667,0.8,0
MarJon Beauchamp,MIL,27,1.9259259259259256,1.1851851851851851,0.2962962962962963,0
Jordan McLaughlin,SAC,28,1.8928571428571428,0.75,0.8571428571428571,0
Tyler Kolek,NYK,28,1.8928571428571428,0.5357142857142857,0.7857142857142857,0
